date,population,food
0815-03-21T00:00,10,100.0,
0815-03-21T00:00,32,566.5070771547108,
0815-03-21T00:00,32,746.7233141368398,
0815-03-21T00:00,32,1117.2273189303846,
0815-03-21T00:00,32,1471.3885095973606,
0815-03-21T00:00,32,1676.2535010100646,
0815-03-21T00:00,32,1939.8505282162919,
0815-03-21T00:00,32,2101.89157213778,
0815-03-21T00:00,32,2539.921294603098,
0815-03-21T00:00,32,2966.3910116046736,
0815-03-21T00:00,32,3315.5233551059637,
0815-03-21T00:00,32,3726.4082682636677,
0815-03-21T00:00,32,4010.2166414425405,
0815-03-21T00:00,32,4024.3113167359115,
0815-03-21T00:00,32,4538.897180729291,
0815-03-21T00:00,32,4798.632682675019,
0815-03-21T00:00,32,5079.572579618932,
0815-03-21T00:00,32,5326.388695282859,
0815-03-21T00:00,32,5470.472992370431,
0815-03-21T00:00,32,5941.460131722804,
0815-03-21T00:00,32,6204.745357392454,
0815-03-21T00:00,32,6669.679988159176,
0815-03-21T00:00,32,6822.902517587769,
0815-03-21T00:00,32,7198.868888414298,
0815-03-21T00:00,32,7516.355281746856,
0815-03-21T00:00,32,7845.10945311347,
0815-03-21T00:00,32,8243.422331145055,
0815-03-21T00:00,32,8637.558590208164,
0815-03-21T00:00,32,9114.788163987922,
0815-03-21T00:00,32,9505.758044488954,
0815-03-21T00:00,32,9903.760420365526,
0815-03-21T00:00,32,10149.528274130433,
0815-03-21T00:00,32,10332.167484508636,
0815-03-21T00:00,32,10664.002977056685,
0815-03-21T00:00,32,11129.050120665905,
0815-03-21T00:00,32,11393.967905119038,
0815-03-21T00:00,32,11719.280039718478,
0815-03-21T00:00,32,12156.78044763127,
0815-03-21T00:00,32,12419.532125667687,
0815-03-21T00:00,32,12625.833315405936,
0815-03-21T00:00,32,12949.395486485613,
0815-03-21T00:00,32,13414.04420495247,
0815-03-21T00:00,32,13746.028612089458,
0815-03-21T00:00,32,14141.652557163914,
0815-03-21T00:00,32,14496.652127493742,
0815-03-21T00:00,32,14739.363531198656,
0815-03-21T00:00,32,15070.865130189663,
0815-03-21T00:00,32,15299.546066901097,
0815-03-21T00:00,32,15427.270090016931,
0815-03-21T00:00,32,15573.572847507827,
0815-03-21T00:00,32,15724.289045244277,
0815-03-21T00:00,32,16109.417813469543,
0815-03-21T00:00,32,16338.30345475948,
0815-03-21T00:00,32,16588.33436159051,
0815-03-21T00:00,32,16976.89330175664,
0815-03-21T00:00,32,17365.88932975595,
0815-03-21T00:00,32,17787.18665546186,
0815-03-21T00:00,32,18197.772432199483,
0815-03-21T00:00,32,18465.548493781338,
0815-03-21T00:00,32,18938.237964751486,
0815-03-21T00:00,32,19125.804464326346,
0815-03-21T00:00,32,19238.58425917756,
0815-03-21T00:00,32,19488.74335477655,
0815-03-21T00:00,32,19944.830079686733,
0815-03-21T00:00,32,20087.998010245963,
0815-03-21T00:00,32,20542.092416145842,
0815-03-21T00:00,32,20881.307770256954,
0815-03-21T00:00,32,21331.684024837494,
0815-03-21T00:00,32,21678.11949364306,
0815-03-21T00:00,32,21995.680128748252,
0815-03-21T00:00,32,22225.604101548586,
0815-03-21T00:00,32,22491.81064732447,
0815-03-21T00:00,32,22916.001414518516,
0815-03-21T00:00,32,23067.10766828198,
0815-03-21T00:00,32,23327.34964073704,
0815-03-21T00:00,32,23745.964195176206,
0815-03-21T00:00,32,24078.796823181005,
0815-03-21T00:00,32,24225.469728722393,
0815-03-21T00:00,32,24655.824356481568,
0815-03-21T00:00,32,25083.20321372166,
0815-03-21T00:00,32,25213.99053254134,
0815-03-21T00:00,32,25664.992173373947,
0815-03-21T00:00,32,25857.32467304994,
0815-03-21T00:00,32,26092.94302625718,
0815-03-21T00:00,32,26474.252333961434,
0815-03-21T00:00,32,26855.028213848916,
0815-03-21T00:00,32,27272.78395167131,
0815-03-21T00:00,32,27749.420215900165,
0815-03-21T00:00,32,28008.436925114744,
0815-03-21T00:00,32,28126.331878412384,
0815-03-21T00:00,32,28548.515960633893,
0815-03-21T00:00,32,29039.35445029373,
0815-03-21T00:00,32,29345.59336985547,
0815-03-21T00:00,32,29548.01750094993,
0815-03-21T00:00,32,29975.503588226547,
0815-03-21T00:00,32,30237.92681903312,
0815-03-21T00:00,32,30359.927110586254,
0815-03-21T00:00,32,30695.814679164843,
0815-03-21T00:00,32,30872.835167603935,
0815-03-21T00:00,32,31048.446162110857,
0815-03-21T00:00,32,31436.14386588699,
0815-03-21T00:00,32,31869.438096578084,
0815-03-21T00:00,32,32085.1526683694,
0815-03-21T00:00,32,32247.753737744515,
0815-03-21T00:00,32,32449.384986826717,
0815-03-21T00:00,32,32971.39060696743,
0815-03-21T00:00,32,33265.457866345874,
0815-03-21T00:00,32,33444.972682179265,
0815-03-21T00:00,32,33745.73939642205,
0815-03-21T00:00,32,34128.10839290329,
0815-03-21T00:00,32,34564.81435683108,
0815-03-21T00:00,32,34856.86776288103,
0815-03-21T00:00,32,34992.19325091155,
0815-03-21T00:00,32,35484.11896944745,
0815-03-21T00:00,32,35892.735418291544,
0815-03-21T00:00,32,36156.102601629005,
0815-03-21T00:00,32,36382.85969974685,
0815-03-21T00:00,32,36536.50781975122,
0815-03-21T00:00,32,36851.426163321215,
0815-03-21T00:00,32,37153.4746602679,
0815-03-21T00:00,32,37451.57120723966,
0815-03-21T00:00,32,37890.90736838017,
0815-03-21T00:00,32,38230.78839089715,
0815-03-21T00:00,32,38494.67286811002,
0815-03-21T00:00,32,38935.37790536438,
0815-03-21T00:00,32,39066.31965266554,
0815-03-21T00:00,32,39396.572466488986,
0815-03-21T00:00,32,39690.818576221296,
